"PlayerComplete_2646","newplayerTeamData_1221","0.3"
"PlayerComplete_13300","newplayerTeamData_1153","0.3"
"PlayerComplete_5538","newplayerTeamData_1589","0.3"
"PlayerComplete_16059","newplayerTeamData_1622","0.3"
"PlayerComplete_10034","newplayerTeamData_1615","0.3"
"PlayerComplete_4647","newplayerTeamData_1540","0.3"
"PlayerComplete_18434","newplayerTeamData_1209","0.3"
"PlayerComplete_10782","newplayerTeamData_1363","0.5"
"PlayerComplete_4526","newplayerTeamData_1234","0.3"
"PlayerComplete_4492","newplayerTeamData_1468","0.3"
"PlayerComplete_2623","newplayerTeamData_1430","0.3"
"PlayerComplete_4518","newplayerTeamData_1700","0.3"
"PlayerComplete_2943","newplayerTeamData_1643","0.3"
"PlayerComplete_6824","newplayerTeamData_1225","0.3"
"PlayerComplete_13443","newplayerTeamData_1169","0.3"
"PlayerComplete_1710","newplayerTeamData_1380","0.3"
"PlayerComplete_14432","newplayerTeamData_1255","0.3"
"PlayerComplete_18512","newplayerTeamData_1038","0.3"
"PlayerComplete_16950","newplayerTeamData_1595","0.3"
"PlayerComplete_6901","newplayerTeamData_1010","0.3"
"PlayerComplete_1174","newplayerTeamData_1506","0.5"
"PlayerComplete_8748","newplayerTeamData_1485","0.3"
"PlayerComplete_1299","newplayerTeamData_1077","0.9000000000000001"
"PlayerComplete_12212","newplayerTeamData_1550","0.3"
"PlayerComplete_1498","newplayerTeamData_1398","0.43333333333333335"
"PlayerComplete_5851","newplayerTeamData_1702","0.3"
"PlayerComplete_18874","newplayerTeamData_1567","0.3"
"PlayerComplete_4926","newplayerTeamData_1145","0.3"
"PlayerComplete_5999","newplayerTeamData_1059","0.3"
"PlayerComplete_4658","newplayerTeamData_1394","0.43333333333333335"
"PlayerComplete_14275","newplayerTeamData_1584","0.3"
"PlayerComplete_11243","newplayerTeamData_1342","0.3"
"PlayerComplete_1094","newplayerTeamData_1516","0.9000000000000001"
"PlayerComplete_5519","newplayerTeamData_1579","0.3"
"PlayerComplete_13246","newplayerTeamData_1061","0.3"
"PlayerComplete_13772","newplayerTeamData_1135","0.3"
"PlayerComplete_3888","newplayerTeamData_1283","0.3"
