"AttributeName","Consistency","ValueIDS","Values","FusedValue","IsCorrect","CorrectValue"
"nationality","1.0","nationality-{PlayerComplete_4571}","{Austria}","Austria",,
"lName","1.0","lName-{PlayersDbPedia_1460|PlayerComplete_2063}","{Boruc|Boruc}","Boruc",,
"fName","0.0","fName-{PlayerComplete_2261|PlayersDbPedia_3961}","{P.|Péter}","Péter",,
"nationality","1.0","nationality-{PlayerComplete_7049}","{Portugal}","Portugal",,
"nationality","1.0","nationality-{PlayerComplete_18657}","{Cyprus}","Cyprus",,
"fName","0.0","fName-{PlayerComplete_13297|PlayersDbPedia_3677}","{N.|Nigel}","Nigel",,
"lName","1.0","lName-{PlayersDbPedia_1440|PlayerComplete_5921}","{Malarz|Malarz}","Malarz",,
"lName","1.0","lName-{PlayersDbPedia_1487|PlayerComplete_15433}","{Sánchez|Sánchez}","Sánchez",,
"fName","0.0","fName-{PlayersDbPedia_3186|PlayerComplete_1814}","{Marcelo|M.}","Marcelo",,
"fName","0.0","fName-{PlayersDbPedia_1207|PlayerComplete_14585}","{Alexander|A.}","Alexander",,
"nationality","1.0","nationality-{PlayerComplete_13684}","{Slovakia}","Slovakia",,
"lName","1.0","lName-{PlayersDbPedia_1585|PlayerComplete_4967}","{Costa|Costa}","Costa",,
"fName","0.0","fName-{PlayerComplete_8242|PlayersDbPedia_3037}","{L.|Leonardo}","Leonardo",,
"fName","0.0","fName-{PlayersDbPedia_1572|PlayerComplete_7490}","{Brayan|J.}","Brayan",,
"fName","0.0","fName-{PlayerComplete_1884|PlayersDbPedia_1135}","{R.|Aldo}","Aldo",,
"nationality","1.0","nationality-{PlayerComplete_15433}","{Argentina}","Argentina",,
"fName","1.0","fName-{PlayerComplete_7049|PlayersDbPedia_3900}","{Pedro|Pedro}","Pedro",,
"lName","1.0","lName-{PlayersDbPedia_3282|PlayerComplete_14809}","{Brunner|Brunner}","Brunner",,
"lName","1.0","lName-{PlayerComplete_2113|PlayersDbPedia_3760}","{Jansson|Jansson}","Jansson",,
"fName","0.0","fName-{PlayersDbPedia_3282|PlayerComplete_14809}","{Marisa|C.}","Marisa",,
"nationality","1.0","nationality-{PlayerComplete_7490}","{Colombia}","Colombia",,
"fName","0.0","fName-{PlayersDbPedia_1460|PlayerComplete_2063}","{Artur|A.}","Artur",,
"nationality","1.0","nationality-{PlayerComplete_4420}","{Italy}","Italy",,
"nationality","1.0","nationality-{PlayerComplete_6744}","{Mexico}","Mexico",,
"lName","1.0","lName-{PlayerComplete_1884|PlayersDbPedia_1135}","{Bobadilla|Bobadilla}","Bobadilla",,
"lName","1.0","lName-{PlayerComplete_18657|PlayersDbPedia_2115}","{Georgiou|Georgiou}","Georgiou",,
"nationality","1.0","nationality-{PlayerComplete_2261}","{Hungary}","Hungary",,
"nationality","1.0","nationality-{PlayerComplete_15486}","{Austria}","Austria",,
"fName","0.0","fName-{PlayerComplete_15486|PlayersDbPedia_3300}","{M.|Markus}","Markus",,
"fName","0.0","fName-{PlayersDbPedia_2067|PlayerComplete_9176}","{Enrique|E.}","Enrique",,
"lName","1.0","lName-{PlayerComplete_15486|PlayersDbPedia_3300}","{Böcskör|Böcskör}","Böcskör",,
"lName","0.5","lName-{newplayerTeamData_1658|PlayersDbPedia_3162|Playerxlsx_5280|PlayerComplete_17347}","{Oscar|Nilsson|Osorio|Nilsson}","Nilsson",,
"nationality","1.0","nationality-{PlayerComplete_17612}","{Senegal}","Senegal",,
"nationality","1.0","nationality-{PlayerComplete_9176}","{Argentina}","Argentina",,
"lName","1.0","lName-{PlayersDbPedia_3419|PlayerComplete_2150}","{Hernández|Hernández}","Hernández",,
"lName","1.0","lName-{PlayersDbPedia_1845|PlayerComplete_2733}","{Gómez|Gómez}","Gómez",,
"fName","0.0","fName-{PlayersDbPedia_4663|PlayerComplete_1737}","{Waldir|Bruno}","Waldir",,
"fName","0.0","fName-{PlayerComplete_4420|PlayersDbPedia_2348}","{G.|Gianluca}","Gianluca",,
"lName","1.0","lName-{PlayerComplete_1662|PlayersDbPedia_4217}","{Sirigu|Sirigu}","Sirigu",,
