"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","0-PlayerFNameComparatorFirstLetter-record1Value","0-PlayerFNameComparatorFirstLetter-record2Value","0-PlayerFNameComparatorFirstLetter-record1PreprocessedValue","0-PlayerFNameComparatorFirstLetter-record2PreprocessedValue","0-PlayerFNameComparatorFirstLetter-similarity","0-PlayerFNameComparatorFirstLetter-postproccesedSimilarity","1-PlayerFNameComparatorJaccard-record1Value","1-PlayerFNameComparatorJaccard-record2Value","1-PlayerFNameComparatorJaccard-record1PreprocessedValue","1-PlayerFNameComparatorJaccard-record2PreprocessedValue","1-PlayerFNameComparatorJaccard-similarity","1-PlayerFNameComparatorJaccard-postproccesedSimilarity","2-PlayerLNameComparatorJaccard-record1Value","2-PlayerLNameComparatorJaccard-record2Value","2-PlayerLNameComparatorJaccard-record1PreprocessedValue","2-PlayerLNameComparatorJaccard-record2PreprocessedValue","2-PlayerLNameComparatorJaccard-similarity","2-PlayerLNameComparatorJaccard-postproccesedSimilarity","3-PlayerLNameComparatorLevenshtein-record1Value","3-PlayerLNameComparatorLevenshtein-record2Value","3-PlayerLNameComparatorLevenshtein-record1PreprocessedValue","3-PlayerLNameComparatorLevenshtein-record2PreprocessedValue","3-PlayerLNameComparatorLevenshtein-similarity","3-PlayerLNameComparatorLevenshtein-postproccesedSimilarity","4-PlayerNationaltyComparatorEqual-record1Value","4-PlayerNationaltyComparatorEqual-record2Value","4-PlayerNationaltyComparatorEqual-record1PreprocessedValue","4-PlayerNationaltyComparatorEqual-record2PreprocessedValue","4-PlayerNationaltyComparatorEqual-similarity","4-PlayerNationaltyComparatorEqual-postproccesedSimilarity"
"WekaMatchingRule","PlayerComplete_18651","newplayerTeamData_1669","0.7865658056643267",,"r.","moubandje","r.","moubandje","0.0","0.0","r.","moubandje","r.","moubandje","0.0","0.0","oliveira alves","francois","oliveira alves","francois","0.0","0.0","oliveira alves","francois","oliveira alves","francois","0.2142857142857143","0.2142857142857143","Switzerland","Switzerland","Switzerland","Switzerland","1.0","1.0"
"WekaMatchingRule","PlayerComplete_8662","newplayerTeamData_1266","0.7865658056643267",,"k.","goretzka","k.","goretzka","0.0","0.0","k.","goretzka","k.","goretzka","0.0","0.0","vollmann","leon","vollmann","leon","0.0","0.0","vollmann","leon","vollmann","leon","0.25","0.25","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_8662","newplayerTeamData_1267","0.7865658056643267",,"k.","suele","k.","suele","0.0","0.0","k.","suele","k.","suele","0.0","0.0","vollmann","niklas","vollmann","niklas","0.0","0.0","vollmann","niklas","vollmann","niklas","0.25","0.25","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18651","newplayerTeamData_1668","0.7865658056643267",,"r.","lichtsteiner","r.","lichtsteiner","0.0","0.0","r.","lichtsteiner","r.","lichtsteiner","0.0","0.0","oliveira alves","stephan","oliveira alves","stephan","0.0","0.0","oliveira alves","stephan","oliveira alves","stephan","0.1428571428571429","0.1428571428571429","Switzerland","Switzerland","Switzerland","Switzerland","1.0","1.0"
"WekaMatchingRule","PlayerComplete_14470","newplayerTeamData_1024","0.7865658056643267",,"j.","degenek","j.","degenek","0.0","0.0","j.","degenek","j.","degenek","0.0","0.0","duncan","milos","duncan","milos","0.0","0.0","duncan","milos","duncan","milos","0.0","0.0","Australia","Australia","Australia","Australia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_14470","newplayerTeamData_1025","0.7865658056643267",,"j.","meredith","j.","meredith","0.0","0.0","j.","meredith","j.","meredith","0.0","0.0","duncan","james","duncan","james","0.0","0.0","duncan","james","duncan","james","0.0","0.0","Australia","Australia","Australia","Australia","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10428","newplayerTeamData_1662","0.7865658056643267",,"d.","rohden","d.","rohden","0.0","0.0","d.","rohden","d.","rohden","0.0","0.0","boo wiklander","marcus","boo wiklander","marcus","0.0","0.0","boo wiklander","marcus","boo wiklander","marcus","0.07692307692307687","0.07692307692307687","Sweden","Sweden","Sweden","Sweden","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10428","newplayerTeamData_1663","0.7865658056643267",,"d.","toivonen","d.","toivonen","0.0","0.0","d.","toivonen","d.","toivonen","0.0","0.0","boo wiklander","ola","boo wiklander","ola","0.0","0.0","boo wiklander","ola","boo wiklander","ola","0.23076923076923073","0.23076923076923073","Sweden","Sweden","Sweden","Sweden","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6916","newplayerTeamData_1244","0.7865658056643267",,"p.","nzonzi","p.","nzonzi","0.0","0.0","p.","nzonzi","p.","nzonzi","0.0","0.0","sagna","steven","sagna","steven","0.0","0.0","sagna","steven","sagna","steven","0.16666666666666663","0.16666666666666663","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18359","newplayerTeamData_1266","0.7865658056643267",,"t.","goretzka","t.","goretzka","0.0","0.0","t.","goretzka","t.","goretzka","0.0","0.0","mannek","leon","mannek","leon","0.0","0.0","mannek","leon","mannek","leon","0.16666666666666663","0.16666666666666663","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10489","newplayerTeamData_1208","0.7865658056643267",,"a.","walker","a.","walker","0.0","0.0","a.","walker","a.","walker","0.0","0.0","oshilaja","kyle","oshilaja","kyle","0.0","0.0","oshilaja","kyle","oshilaja","kyle","0.125","0.125","England","England","England","England","1.0","1.0"
"WekaMatchingRule","PlayerComplete_10489","newplayerTeamData_1209","0.7865658056643267",,"a.","rose","a.","rose","0.0","0.0","a.","rose","a.","rose","0.0","0.0","oshilaja","danny","oshilaja","danny","0.0","0.0","oshilaja","danny","oshilaja","danny","0.0","0.0","England","England","England","England","1.0","1.0"
"WekaMatchingRule","PlayerComplete_18359","newplayerTeamData_1267","0.7865658056643267",,"t.","suele","t.","suele","0.0","0.0","t.","suele","t.","suele","0.0","0.0","mannek","niklas","mannek","niklas","0.0","0.0","mannek","niklas","mannek","niklas","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6916","newplayerTeamData_1245","0.7865658056643267",,"p.","mandanda","p.","mandanda","0.0","0.0","p.","mandanda","p.","mandanda","0.0","0.0","sagna","steve","sagna","steve","0.0","0.0","sagna","steve","sagna","steve","0.19999999999999996","0.19999999999999996","France","France","France","France","1.0","1.0"
"WekaMatchingRule","PlayerComplete_11507","newplayerTeamData_1207","0.7865658056643267",,"j.","pickford","j.","pickford","0.0","0.0","j.","pickford","j.","pickford","0.0","0.0","cooper","jordan","cooper","jordan","0.0","0.0","cooper","jordan","cooper","jordan","0.16666666666666663","0.16666666666666663","England","England","England","England","1.0","1.0"
"WekaMatchingRule","PlayerComplete_6805","newplayerTeamData_1266","0.7865658056643267",,"c.","goretzka","c.","goretzka","0.0","0.0","c.","goretzka","c.","goretzka","0.0","0.0","kum","leon","kum","leon","0.0","0.0","kum","leon","kum","leon","0.0","0.0","Germany","Germany","Germany","Germany","1.0","1.0"
